               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0797,            0.032041,            0.059481,           0.0035397,                0.95,            0.043485,            0.016675,            0.033552,            0.017956,            0.046436,               0.073,               0.003,               0.003
                   1,            0.053883,            0.027663,            0.057901,            0.029302,             0.96667,             0.13827,            0.060412,            0.030988,            0.011145,            0.043776,             0.04508,           0.0060799,           0.0060799
                   2,            0.052302,            0.021821,              0.0542,           0.0034518,                   1,            0.033432,            0.013073,              0.0422,           0.0071405,            0.042023,            0.017139,           0.0091393,           0.0091393
                   3,            0.048478,            0.018619,            0.054163,             0.21005,             0.35989,             0.24674,             0.09731,            0.036789,           0.0053145,             0.04113,            0.009901,            0.009901,            0.009901
                   4,            0.045633,            0.015917,            0.052889,             0.18421,              0.4769,             0.28085,             0.13015,            0.034958,           0.0045348,            0.039908,            0.009901,            0.009901,            0.009901
                   5,            0.045159,            0.013976,            0.053519,             0.41407,             0.42176,             0.32524,             0.20458,            0.030036,           0.0041522,            0.038635,            0.009868,            0.009868,            0.009868
                   6,            0.044969,            0.012707,            0.052044,             0.30387,             0.48193,             0.33325,             0.11134,            0.036645,           0.0038961,            0.038303,            0.009835,            0.009835,            0.009835
                   7,            0.042595,            0.013335,            0.054224,              0.2331,             0.67971,             0.34679,             0.16902,             0.02834,           0.0043628,             0.03758,            0.009802,            0.009802,            0.009802
                   8,            0.040349,            0.011452,            0.049859,             0.14648,             0.65252,             0.35521,             0.20155,            0.029825,           0.0032747,            0.036932,            0.009769,            0.009769,            0.009769
                   9,            0.040695,           0.0097622,            0.046862,             0.46077,             0.45574,             0.41846,             0.27963,             0.02347,           0.0036302,            0.035918,            0.009736,            0.009736,            0.009736
                  10,             0.03766,             0.01063,             0.04683,             0.32226,             0.51667,             0.34729,             0.18149,            0.031381,           0.0035615,             0.03528,            0.009703,            0.009703,            0.009703
                  11,            0.035175,            0.010218,            0.044949,             0.33368,             0.61688,             0.46329,             0.27581,            0.022176,           0.0034418,            0.034893,             0.00967,             0.00967,             0.00967
                  12,            0.038945,           0.0094719,            0.048519,             0.27373,             0.71556,             0.47478,              0.2675,            0.022708,           0.0034158,            0.034227,            0.009637,            0.009637,            0.009637
                  13,            0.035155,            0.009584,            0.042389,             0.41699,             0.74905,             0.58001,             0.31442,            0.025087,           0.0034213,            0.033366,            0.009604,            0.009604,            0.009604
                  14,             0.03419,           0.0091915,            0.044796,             0.53619,             0.51773,             0.57993,             0.40049,            0.019264,           0.0033344,            0.032311,            0.009571,            0.009571,            0.009571
                  15,            0.035665,            0.010959,            0.045921,              0.4964,             0.58218,             0.59599,             0.34018,             0.02145,           0.0033327,             0.03249,            0.009538,            0.009538,            0.009538
                  16,            0.033186,           0.0095032,            0.043809,             0.50636,             0.65385,             0.66335,             0.33886,            0.021936,           0.0033038,            0.030311,            0.009505,            0.009505,            0.009505
                  17,            0.031176,           0.0088932,            0.042074,             0.56934,             0.63142,             0.64235,              0.4287,             0.01882,           0.0032524,            0.029201,            0.009472,            0.009472,            0.009472
                  18,            0.033339,           0.0091581,            0.041141,             0.38165,             0.70239,             0.61863,             0.39928,            0.018173,            0.003203,            0.030627,            0.009439,            0.009439,            0.009439
                  19,            0.029475,           0.0086971,            0.037812,              0.4431,             0.79418,             0.67104,               0.414,             0.01896,           0.0033417,             0.02648,            0.009406,            0.009406,            0.009406
                  20,            0.030661,           0.0092791,            0.042167,             0.50208,             0.75631,             0.73068,             0.49795,            0.018058,           0.0034374,            0.025753,            0.009373,            0.009373,            0.009373
                  21,            0.030863,             0.00914,            0.040605,             0.46721,             0.72307,             0.71395,             0.47288,            0.019177,           0.0032228,            0.024884,             0.00934,             0.00934,             0.00934
                  22,            0.030908,           0.0089557,            0.036508,             0.44929,             0.85308,             0.74517,             0.48598,             0.01779,           0.0032756,            0.024313,            0.009307,            0.009307,            0.009307
                  23,            0.033472,           0.0088421,            0.036376,              0.4761,             0.82057,             0.72848,             0.50991,            0.017403,            0.003201,            0.023669,            0.009274,            0.009274,            0.009274
                  24,            0.030512,           0.0096561,            0.035221,             0.60185,             0.84281,             0.75421,             0.53174,            0.017449,           0.0031409,            0.022006,            0.009241,            0.009241,            0.009241
                  25,            0.028666,           0.0087421,            0.034082,             0.55049,             0.83697,              0.7835,             0.51242,             0.01998,           0.0032318,            0.021111,            0.009208,            0.009208,            0.009208
                  26,             0.02926,           0.0088278,            0.032611,             0.59285,             0.85855,             0.79355,             0.51603,            0.019078,           0.0033349,            0.018423,            0.009175,            0.009175,            0.009175
                  27,            0.031552,           0.0093795,            0.035236,             0.45876,             0.86297,             0.77388,             0.51674,            0.019298,           0.0032566,            0.019777,            0.009142,            0.009142,            0.009142
                  28,            0.028945,            0.008064,            0.030745,             0.60232,             0.81021,             0.81563,             0.56863,             0.01859,           0.0031191,            0.016865,            0.009109,            0.009109,            0.009109
                  29,            0.028239,           0.0081271,            0.030003,             0.60827,              0.7732,             0.79007,             0.51198,            0.020921,           0.0032058,             0.01824,            0.009076,            0.009076,            0.009076
                  30,            0.033418,           0.0094014,            0.034156,             0.56917,             0.87579,             0.81289,             0.59467,             0.01542,           0.0031586,            0.016845,            0.009043,            0.009043,            0.009043
                  31,            0.028402,           0.0091826,            0.030376,             0.54896,             0.91684,             0.82832,             0.54963,            0.017621,           0.0031013,            0.015894,             0.00901,             0.00901,             0.00901
                  32,            0.031135,           0.0092566,            0.033316,             0.70823,              0.9188,             0.87667,             0.59825,            0.017304,           0.0030205,            0.013846,            0.008977,            0.008977,            0.008977
                  33,            0.025868,           0.0082415,            0.025166,             0.71745,             0.93835,             0.89272,             0.63249,            0.017798,           0.0029941,            0.013625,            0.008944,            0.008944,            0.008944
                  34,            0.027626,           0.0084793,            0.027147,             0.68888,             0.98049,             0.90706,             0.68855,            0.015634,           0.0029957,            0.011928,            0.008911,            0.008911,            0.008911
                  35,            0.028224,           0.0092863,            0.025208,             0.70922,             0.96044,             0.91852,             0.67148,            0.016731,           0.0030513,            0.011442,            0.008878,            0.008878,            0.008878
                  36,            0.027579,           0.0088931,            0.024202,             0.81079,              0.9453,             0.93424,             0.65902,            0.016683,           0.0030306,            0.010482,            0.008845,            0.008845,            0.008845
                  37,            0.027344,            0.008803,            0.023394,             0.79827,             0.96244,               0.939,             0.70366,            0.014888,           0.0029803,            0.010136,            0.008812,            0.008812,            0.008812
                  38,            0.028236,           0.0083237,            0.027696,             0.75324,             0.91275,             0.89304,             0.62473,            0.017779,           0.0032477,            0.011424,            0.008779,            0.008779,            0.008779
                  39,            0.028434,           0.0095673,            0.023506,             0.66956,             0.89951,              0.8854,             0.60352,            0.018351,           0.0032003,            0.011471,            0.008746,            0.008746,            0.008746
                  40,            0.027269,            0.008672,            0.023789,             0.79338,             0.91533,             0.92269,             0.65848,            0.016221,           0.0031376,           0.0094052,            0.008713,            0.008713,            0.008713
                  41,            0.029476,           0.0090684,             0.02707,             0.77435,             0.93333,             0.92688,             0.66707,            0.015659,           0.0029622,            0.011121,             0.00868,             0.00868,             0.00868
                  42,            0.028395,           0.0089226,             0.02436,             0.73261,             0.91799,              0.9315,             0.60192,            0.021916,           0.0031589,           0.0089341,            0.008647,            0.008647,            0.008647
                  43,            0.027528,           0.0085501,            0.024054,             0.72711,              0.9659,             0.90535,             0.64706,            0.018186,           0.0032325,           0.0098597,            0.008614,            0.008614,            0.008614
                  44,             0.02694,           0.0082509,            0.020049,             0.71649,             0.93885,             0.88372,             0.64246,             0.01551,           0.0031245,            0.010558,            0.008581,            0.008581,            0.008581
                  45,            0.027183,           0.0086968,            0.023451,             0.77074,             0.95787,              0.9136,             0.68381,            0.014384,           0.0030068,            0.010451,            0.008548,            0.008548,            0.008548
                  46,            0.028417,           0.0085155,            0.028946,             0.71524,             0.95069,             0.90679,             0.70379,            0.014796,           0.0030089,            0.011331,            0.008515,            0.008515,            0.008515
                  47,            0.026279,            0.008089,            0.023683,              0.7396,             0.97852,             0.90057,              0.6532,            0.016603,           0.0030023,           0.0091913,            0.008482,            0.008482,            0.008482
                  48,            0.028933,           0.0084907,            0.023845,             0.71945,             0.99654,             0.88966,             0.64746,            0.016435,           0.0030373,            0.007724,            0.008449,            0.008449,            0.008449
                  49,            0.030274,           0.0082918,            0.023914,             0.77697,             0.99916,             0.92987,             0.69374,            0.015891,           0.0030832,           0.0076999,            0.008416,            0.008416,            0.008416
                  50,            0.026455,           0.0083657,            0.025616,             0.78473,             0.94448,             0.91065,             0.65978,            0.015104,            0.003231,           0.0087536,            0.008383,            0.008383,            0.008383
                  51,            0.026323,           0.0084502,            0.023479,             0.76822,             0.94225,             0.91601,             0.69448,            0.017384,           0.0033349,            0.009993,             0.00835,             0.00835,             0.00835
                  52,            0.030476,             0.00925,            0.023219,             0.83596,             0.96537,             0.93059,             0.68478,            0.016903,           0.0030282,           0.0089888,            0.008317,            0.008317,            0.008317
                  53,             0.02661,           0.0086646,              0.0209,             0.78657,             0.98036,              0.9409,             0.69627,            0.015094,           0.0029033,           0.0079648,            0.008284,            0.008284,            0.008284
                  54,            0.028785,            0.008295,            0.026065,             0.79286,             0.99406,              0.9259,             0.67125,            0.015351,           0.0029418,           0.0078893,            0.008251,            0.008251,            0.008251
                  55,            0.025564,           0.0087955,            0.023929,             0.75058,             0.92698,             0.91717,             0.66018,            0.015502,           0.0030546,            0.010725,            0.008218,            0.008218,            0.008218
                  56,            0.027994,           0.0087901,            0.024509,             0.82788,             0.94827,             0.93401,             0.70921,            0.014045,           0.0029302,           0.0095819,            0.008185,            0.008185,            0.008185
                  57,            0.028071,           0.0086676,            0.024669,             0.82106,             0.97307,             0.93957,              0.6955,            0.016691,           0.0030266,           0.0077147,            0.008152,            0.008152,            0.008152
                  58,            0.028265,           0.0084138,            0.022823,             0.82869,             0.96995,             0.92782,             0.68863,            0.015858,           0.0031059,           0.0075603,            0.008119,            0.008119,            0.008119
                  59,             0.02542,            0.008449,            0.020741,             0.80763,             0.92059,             0.92804,             0.67691,            0.015348,           0.0030036,           0.0069504,            0.008086,            0.008086,            0.008086
                  60,            0.026135,           0.0091276,            0.021284,              0.8302,             0.94238,             0.94887,             0.72682,            0.015637,           0.0029935,           0.0069128,            0.008053,            0.008053,            0.008053
                  61,            0.027879,           0.0083069,            0.022285,              0.7474,             0.93775,             0.92881,             0.68495,            0.016132,           0.0029832,            0.008191,             0.00802,             0.00802,             0.00802
                  62,            0.026229,           0.0084029,            0.020273,             0.75556,             0.95978,             0.92433,             0.72179,             0.01339,           0.0028446,            0.008028,            0.007987,            0.007987,            0.007987
                  63,            0.027397,           0.0091064,            0.019587,             0.82476,             0.98447,             0.94604,             0.75025,             0.01362,           0.0029287,           0.0076518,            0.007954,            0.007954,            0.007954
                  64,            0.024115,           0.0088791,            0.018908,              0.8063,             0.96474,             0.94402,             0.65766,            0.017994,           0.0030408,           0.0061382,            0.007921,            0.007921,            0.007921
                  65,            0.025438,           0.0082194,            0.021155,             0.85456,             0.95119,             0.96052,             0.75198,            0.013338,           0.0029665,           0.0059289,            0.007888,            0.007888,            0.007888
                  66,            0.022331,           0.0077483,            0.014647,             0.86286,              0.9161,             0.96944,              0.7205,            0.016989,           0.0029135,           0.0065967,            0.007855,            0.007855,            0.007855
                  67,            0.026716,           0.0090809,            0.019821,             0.81028,             0.97109,             0.95638,             0.74943,            0.014288,           0.0029469,           0.0054955,            0.007822,            0.007822,            0.007822
                  68,            0.024149,           0.0082167,            0.018886,             0.88781,             0.94962,             0.96333,             0.75004,            0.014535,           0.0029184,           0.0046314,            0.007789,            0.007789,            0.007789
                  69,            0.025776,           0.0079477,            0.019266,             0.92579,             0.94991,             0.97212,             0.75121,            0.015039,           0.0029153,           0.0045792,            0.007756,            0.007756,            0.007756
                  70,            0.025818,           0.0072784,            0.019659,             0.88573,               0.948,             0.96981,             0.75212,            0.015352,           0.0029636,           0.0062121,            0.007723,            0.007723,            0.007723
                  71,            0.024379,            0.008287,             0.01769,             0.83575,             0.94875,             0.95306,             0.72029,             0.01677,           0.0030262,           0.0069686,             0.00769,             0.00769,             0.00769
                  72,            0.026219,           0.0087866,            0.020299,             0.82364,             0.91414,             0.93758,             0.71399,            0.015502,           0.0030327,           0.0060835,            0.007657,            0.007657,            0.007657
                  73,            0.022917,           0.0083226,            0.020882,             0.85597,             0.97647,             0.95051,             0.73782,            0.013202,           0.0029997,           0.0058522,            0.007624,            0.007624,            0.007624
                  74,            0.025283,           0.0080276,            0.017852,             0.83248,             0.93821,             0.94685,             0.68017,            0.015892,            0.002992,           0.0070504,            0.007591,            0.007591,            0.007591
                  75,            0.022856,           0.0076105,             0.01911,             0.83257,             0.96496,             0.96184,             0.74906,            0.014305,           0.0029312,           0.0066266,            0.007558,            0.007558,            0.007558
                  76,            0.025024,           0.0083943,            0.017828,             0.83501,             0.97655,             0.97278,             0.75879,            0.013266,           0.0028996,           0.0051321,            0.007525,            0.007525,            0.007525
                  77,            0.027988,           0.0085434,            0.020593,             0.88398,             0.95937,             0.97111,             0.74492,            0.015973,           0.0029203,           0.0048081,            0.007492,            0.007492,            0.007492
                  78,            0.024347,           0.0081088,            0.017825,             0.88462,             0.96667,             0.96913,             0.72007,            0.014728,            0.003116,           0.0047251,            0.007459,            0.007459,            0.007459
                  79,             0.02445,           0.0083639,            0.017666,             0.86802,             0.95141,             0.97431,             0.71449,            0.015577,           0.0030258,           0.0055682,            0.007426,            0.007426,            0.007426
                  80,            0.027828,           0.0085879,            0.020535,             0.89536,             0.94686,             0.98389,             0.73955,            0.016378,           0.0030827,           0.0063369,            0.007393,            0.007393,            0.007393
                  81,            0.026253,           0.0087447,            0.018905,             0.89828,             0.96896,             0.98389,             0.76057,            0.013214,           0.0029179,           0.0059911,             0.00736,             0.00736,             0.00736
                  82,            0.024113,           0.0073581,            0.020936,             0.83876,             0.90717,             0.97486,             0.74919,            0.014185,           0.0028352,           0.0079485,            0.007327,            0.007327,            0.007327
                  83,            0.024221,           0.0084536,            0.020282,             0.90096,             0.96274,             0.98667,              0.7833,            0.012719,           0.0028934,           0.0067306,            0.007294,            0.007294,            0.007294
                  84,            0.022384,           0.0069226,            0.018605,              0.9048,             0.97479,             0.98597,             0.77105,            0.014032,           0.0030334,           0.0043455,            0.007261,            0.007261,            0.007261
                  85,            0.023061,            0.008041,            0.016908,             0.91175,             0.97293,             0.98667,             0.75524,            0.013962,           0.0029929,            0.004344,            0.007228,            0.007228,            0.007228
                  86,            0.026002,           0.0081142,            0.018989,             0.92308,             0.97851,             0.98944,             0.77371,            0.014546,            0.003051,           0.0044952,            0.007195,            0.007195,            0.007195
                  87,            0.022041,           0.0084134,            0.018212,             0.92518,             0.97778,               0.995,             0.77206,            0.014776,           0.0031039,           0.0046652,            0.007162,            0.007162,            0.007162
                  88,            0.024967,           0.0085849,            0.016316,             0.94412,             0.99359,               0.995,             0.75734,            0.014647,            0.003027,           0.0029202,            0.007129,            0.007129,            0.007129
                  89,            0.023971,           0.0086257,            0.016638,             0.94608,             0.94622,             0.97042,              0.7317,            0.015152,           0.0028596,           0.0038607,            0.007096,            0.007096,            0.007096
                  90,            0.022823,           0.0085341,            0.015977,             0.94018,             0.94552,             0.97926,             0.75632,            0.014918,           0.0028349,           0.0041699,            0.007063,            0.007063,            0.007063
                  91,            0.024082,           0.0083771,            0.014602,             0.94266,             0.96667,             0.97808,             0.75167,            0.014407,           0.0028027,           0.0042941,             0.00703,             0.00703,             0.00703
                  92,             0.02476,           0.0086209,            0.018822,             0.94431,             0.97047,             0.98181,             0.78598,            0.012738,           0.0026812,           0.0038913,            0.006997,            0.006997,            0.006997
                  93,            0.024928,           0.0079399,            0.015517,             0.93707,             0.98333,             0.98429,             0.75679,            0.013915,           0.0027785,           0.0037836,            0.006964,            0.006964,            0.006964
                  94,            0.025783,           0.0077605,            0.016531,             0.95652,             0.97732,             0.99024,             0.75279,            0.014903,           0.0028897,           0.0027522,            0.006931,            0.006931,            0.006931
                  95,            0.021248,           0.0072781,            0.011616,             0.96802,             0.98739,               0.995,             0.77411,            0.015079,           0.0027832,           0.0024122,            0.006898,            0.006898,            0.006898
                  96,            0.023699,           0.0084948,            0.013861,             0.96038,              0.9675,             0.98111,             0.77904,            0.014504,            0.002826,           0.0037735,            0.006865,            0.006865,            0.006865
                  97,            0.024509,            0.007886,            0.015955,             0.97781,             0.97997,             0.98102,             0.76183,            0.013287,           0.0028265,           0.0028339,            0.006832,            0.006832,            0.006832
                  98,            0.022838,            0.007946,            0.014212,             0.97388,             0.98321,               0.995,             0.77193,            0.014397,           0.0028719,           0.0020895,            0.006799,            0.006799,            0.006799
                  99,            0.026395,           0.0087535,            0.016108,             0.97014,             0.97614,               0.995,              0.7871,            0.012404,           0.0028195,           0.0023005,            0.006766,            0.006766,            0.006766
                 100,            0.023032,           0.0077475,            0.013837,             0.94957,             0.98138,               0.995,             0.76073,            0.013762,            0.002841,           0.0025585,            0.006733,            0.006733,            0.006733
                 101,             0.02675,           0.0081915,             0.01707,             0.90901,             0.96356,             0.99024,              0.7728,            0.013791,           0.0027637,            0.003703,              0.0067,              0.0067,              0.0067
                 102,            0.024147,            0.008092,            0.015339,             0.94017,             0.94442,             0.98354,             0.75921,            0.013951,           0.0027803,           0.0053318,            0.006667,            0.006667,            0.006667
                 103,             0.02116,           0.0076042,            0.011924,              0.9526,             0.95756,             0.98389,             0.75234,             0.01313,           0.0027782,           0.0037309,            0.006634,            0.006634,            0.006634
                 104,            0.023354,           0.0078785,            0.014769,             0.97161,              0.9661,               0.995,             0.76891,            0.013676,            0.002856,           0.0026379,            0.006601,            0.006601,            0.006601
                 105,            0.022437,           0.0082863,            0.013449,             0.95294,             0.97126,             0.99222,             0.74175,            0.015422,           0.0029979,           0.0034104,            0.006568,            0.006568,            0.006568
                 106,            0.025737,           0.0075707,             0.01494,             0.96445,             0.98701,               0.995,             0.77191,            0.012887,           0.0028458,           0.0021958,            0.006535,            0.006535,            0.006535
                 107,            0.021718,           0.0078918,            0.014124,             0.96162,             0.97379,               0.995,             0.80215,            0.013124,           0.0028971,           0.0021026,            0.006502,            0.006502,            0.006502
                 108,            0.024692,            0.008235,            0.013329,             0.97548,             0.97945,             0.98272,             0.76409,            0.014386,           0.0029049,           0.0019829,            0.006469,            0.006469,            0.006469
                 109,            0.024947,           0.0082977,            0.017041,             0.97719,             0.98304,             0.98181,             0.75346,            0.013625,           0.0028633,            0.001877,            0.006436,            0.006436,            0.006436
                 110,            0.021016,           0.0075648,            0.010823,             0.97536,             0.97928,             0.98875,             0.78134,            0.014097,           0.0028492,           0.0017164,            0.006403,            0.006403,            0.006403
                 111,            0.022923,           0.0076477,             0.01447,             0.97929,             0.97563,               0.995,             0.78437,            0.012245,           0.0028175,           0.0020566,             0.00637,             0.00637,             0.00637
                 112,            0.021419,           0.0068682,            0.013991,             0.96876,             0.97561,             0.98474,             0.79593,            0.013251,           0.0027812,           0.0026469,            0.006337,            0.006337,            0.006337
                 113,            0.021549,           0.0074786,              0.0136,             0.96955,             0.98333,             0.98875,             0.80508,            0.012225,           0.0027495,           0.0026012,            0.006304,            0.006304,            0.006304
                 114,            0.022179,           0.0078852,            0.013741,             0.96245,             0.97676,               0.995,             0.77902,            0.013143,           0.0027874,           0.0030154,            0.006271,            0.006271,            0.006271
                 115,            0.021999,           0.0073002,            0.014203,             0.98366,             0.98663,               0.995,             0.74439,            0.013908,           0.0029492,           0.0016732,            0.006238,            0.006238,            0.006238
                 116,            0.023368,           0.0074737,            0.012853,             0.97705,             0.98705,               0.995,             0.78738,            0.012907,           0.0029514,           0.0015741,            0.006205,            0.006205,            0.006205
                 117,            0.019439,           0.0072601,            0.012958,             0.96926,             0.98873,               0.995,             0.77051,            0.014271,           0.0030221,           0.0016376,            0.006172,            0.006172,            0.006172
                 118,            0.022862,           0.0070391,            0.012348,              0.9645,             0.98333,             0.98875,              0.7616,            0.013733,           0.0029991,           0.0020068,            0.006139,            0.006139,            0.006139
                 119,            0.023461,           0.0077009,            0.015072,             0.96486,             0.98109,             0.98102,             0.76937,            0.013296,           0.0028972,            0.002562,            0.006106,            0.006106,            0.006106
                 120,            0.021994,           0.0077422,            0.010301,             0.97504,             0.98333,             0.99222,             0.76554,            0.014198,           0.0029256,           0.0018672,            0.006073,            0.006073,            0.006073
                 121,            0.025936,           0.0083885,            0.015389,             0.97694,             0.98812,               0.995,             0.78409,            0.013088,           0.0029088,           0.0012731,             0.00604,             0.00604,             0.00604
                 122,            0.024101,           0.0075694,            0.015701,             0.97204,              0.9776,               0.995,             0.79569,            0.012766,            0.002947,           0.0014774,            0.006007,            0.006007,            0.006007
                 123,            0.021889,           0.0075305,             0.01215,             0.97259,             0.98374,               0.995,             0.78799,             0.01358,           0.0027786,           0.0013547,            0.005974,            0.005974,            0.005974
                 124,            0.023041,           0.0085875,            0.013848,             0.96986,             0.98618,               0.995,             0.77713,            0.012403,           0.0028191,           0.0015088,            0.005941,            0.005941,            0.005941
                 125,            0.021284,           0.0070467,            0.013884,             0.96577,             0.97678,              0.9825,             0.78301,            0.012094,           0.0028518,           0.0019747,            0.005908,            0.005908,            0.005908
                 126,            0.023027,           0.0083172,            0.011966,             0.97369,             0.97505,             0.98429,             0.77933,            0.011535,           0.0028297,           0.0022081,            0.005875,            0.005875,            0.005875
                 127,            0.022481,           0.0077218,            0.012099,             0.97187,             0.97911,             0.98111,             0.79179,            0.011746,           0.0028099,           0.0024471,            0.005842,            0.005842,            0.005842
                 128,            0.021744,            0.007605,            0.011961,             0.95023,             0.96414,             0.98121,             0.78396,            0.012669,            0.003009,           0.0027045,            0.005809,            0.005809,            0.005809
                 129,            0.025244,            0.008296,            0.011904,             0.97251,             0.97475,              0.9796,              0.7708,             0.01264,           0.0030332,           0.0020996,            0.005776,            0.005776,            0.005776
                 130,            0.022576,           0.0078663,            0.012406,             0.96936,             0.96633,             0.98875,             0.79648,            0.011782,           0.0029141,           0.0023624,            0.005743,            0.005743,            0.005743
                 131,            0.020729,           0.0078646,            0.011838,             0.97155,             0.98103,               0.995,             0.77152,            0.011845,           0.0029892,           0.0019082,             0.00571,             0.00571,             0.00571
                 132,            0.022082,           0.0078045,            0.012252,             0.97464,               0.988,               0.995,             0.78349,            0.012118,           0.0028261,           0.0015701,            0.005677,            0.005677,            0.005677
                 133,             0.02249,           0.0073037,            0.013286,             0.97772,             0.97682,               0.995,              0.8008,            0.011813,           0.0027663,           0.0014965,            0.005644,            0.005644,            0.005644
                 134,            0.023433,           0.0078854,            0.011998,             0.94741,             0.96999,             0.99222,             0.74662,            0.015197,           0.0028632,           0.0025295,            0.005611,            0.005611,            0.005611
                 135,            0.022119,           0.0072124,            0.012475,             0.94661,             0.94537,             0.98468,             0.77807,            0.012468,           0.0027096,            0.003473,            0.005578,            0.005578,            0.005578
                 136,            0.019688,           0.0069894,            0.012259,             0.93943,             0.95997,             0.98204,             0.78597,            0.012563,           0.0026931,           0.0036046,            0.005545,            0.005545,            0.005545
                 137,            0.021741,           0.0071837,            0.011249,             0.98067,             0.98333,             0.98759,             0.77447,            0.012679,           0.0026957,           0.0021382,            0.005512,            0.005512,            0.005512
                 138,            0.019721,           0.0067772,           0.0096918,              0.9795,             0.98648,               0.995,             0.79194,            0.012383,           0.0026963,           0.0018156,            0.005479,            0.005479,            0.005479
                 139,            0.019143,           0.0072259,           0.0087411,             0.98546,               0.985,               0.995,             0.79801,            0.012626,           0.0027742,           0.0014206,            0.005446,            0.005446,            0.005446
                 140,            0.021779,           0.0074878,            0.013707,             0.98291,             0.98645,               0.995,              0.8012,            0.012492,           0.0028216,           0.0013182,            0.005413,            0.005413,            0.005413
                 141,            0.020305,           0.0071577,            0.011382,             0.97721,             0.98333,             0.99222,             0.78426,            0.013011,           0.0029255,           0.0011878,             0.00538,             0.00538,             0.00538
                 142,            0.023385,           0.0081482,             0.01327,             0.97786,             0.98333,             0.97949,             0.76889,            0.012034,           0.0029896,             0.00118,            0.005347,            0.005347,            0.005347
                 143,            0.018469,           0.0073141,           0.0074177,             0.97524,             0.98333,             0.97877,             0.76976,            0.012848,           0.0029725,           0.0012218,            0.005314,            0.005314,            0.005314
                 144,            0.020429,           0.0070757,           0.0083888,             0.97778,             0.98333,             0.97881,             0.78448,            0.012954,           0.0029123,           0.0012099,            0.005281,            0.005281,            0.005281
                 145,            0.019633,            0.007086,           0.0090176,             0.97707,             0.98333,             0.97958,             0.77464,            0.012994,           0.0030242,           0.0011907,            0.005248,            0.005248,            0.005248
                 146,            0.020019,           0.0077106,           0.0090999,             0.98098,             0.98333,             0.97954,             0.77414,            0.012289,           0.0029955,            0.001407,            0.005215,            0.005215,            0.005215
                 147,            0.023332,           0.0069976,           0.0098279,             0.98269,             0.98333,             0.97883,             0.78304,             0.01155,            0.002936,           0.0020661,            0.005182,            0.005182,            0.005182
                 148,            0.018658,           0.0072439,            0.010047,             0.97433,             0.98333,             0.97982,             0.77484,            0.012093,           0.0029415,           0.0017275,            0.005149,            0.005149,            0.005149
